id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,description
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,Upbeat pop anthem with bright synths and catchy hooks perfect for a feel-good morning
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,Mellow lofi beats with soft piano and rain samples ideal for late-night focus sessions
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,High-octane rock track with heavy guitar riffs and driving drums built for peak intensity
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,Quiet acoustic lofi with gentle guitar and ambient rain sounds for relaxed studying
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,Hard-hitting pop banger with massive drops and energetic vocals designed for workouts
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,Dreamy ambient soundscape with floating synth pads and minimal percussion
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,Warm acoustic jazz with brushed drums and fingerpicked guitar for a cozy afternoon
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,Nostalgic synthwave with pulsing basslines and moody arpeggios capturing a night drive
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,Steady lofi groove with subtle chops and a clean mix designed for deep concentration
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,Indie pop gem with jangly guitars and warm vocals capturing a euphoric rooftop vibe
